id;Cup;Cm;Rm;Ra;Tau;Hold;Rest_Potential;–Ã–Ï‡ı;Slope;Decay;PDS_time;AHP_PDS;Type_PDS;Amp_Spike_PDS;Time_to_spike_PDS;Num_of_PDS;–Ã–Ïin;PDS_cluster_time;AHP_PDS;Time_bitwen_PDS;sag;Delta_sag;first_spike;Lag;apl_spike;max_spike;AHP_spike
90;84;183.7;175.2;30.1;4.5;-9.8;-72.45;47.93;1053.25;-465.26;0.15;-4.16;2;115.51;0.018;11;-24.02;2.05;-3.79;32.1;-48.68;-0.22;-59.6;0.67;80.64;10;-28.97
91;85;56;522.3;56.4;2.9;1.8;-68.71;50.97;1440.13;-98.87;0.19;-10.05;3;105;0.019;6;-31.11;0.83;-2.85;11.4;-52.05;-15.73;-55.19;0.07;100.64;23;-10.35
92;86;142.98;221.12;36.6;4.5;1.5;-70.62;56.86;778.14;-109.21;0.38;-16.47;1;121.16;0.014;2;-17.55;0.66;-2.57;20.31;-44.51;-0.06;-54.23;0.33;110.24;11;-2.06
93;87;62.2;425.1;45.8;2.6;-3.4;-73.94;51.21;1089.97;-83.18;0.41;-15.56;3;103.46;0.018;2;-24.14;0.69;-3.33;94.18;-52.77;-7.85;-60.21;0.04;89.45;34;0
94;88;86.01;190.15;36.2;2.6;1.4;-71.31;60.12;3260.58;-103.14;0.01;-50.17;1;94.5;0.012;4;-47.53;0.99;-4.43;32.14;-34.41;-1.39;-53.12;0.04;86.17;10;-8.31
95;89;159.21;200.1;33.1;4.2;-3.2;-71.47;67.29;4375.12;-69.44;0.19;-39.41;1;132.19;0.013;7;-13.64;1.65;-4.37;32.48;-29.42;-2.02;-69.35;0.28;130.32;16;0
96;90;63.01;520.71;65.3;3.7;-2.2;-70.87;52.37;3540.49;-82.18;0.31;-63.59;3;105.53;0.006;8;-35.78;1.58;-6.83;14.03;-44.81;-7.4;-62.77;0.08;110.65;25;-26.35
97;91;100.82;351.2;50.5;4.5;3.4;-75.68;55.54;3111.79;-625.23;0.15;-51.49;2;127.76;0.008;6;-50.13;1.39;-1.46;7.85;-40.81;-2.66;-68.62;0.68;113.91;12;-13.4
98;92;117.94;206.7;30.4;3;2.4;-75.71;43.78;1683.43;-269.96;0.17;-39.87;2;119.86;0.024;5;-50.55;0.99;1;5.78;-26.89;-1.62;-61.36;0.28;105.33;15;0
99;93;120.43;320.8;32.2;3.5;7.4;-78.16;38.16;2826.65;-49.54;0.16;-68.59;2;120.02;0.017;4;-55.42;0.78;1;7.4;-41.7;-0.87;-55.75;0.05;102.51;11;-6.39
100;94;86.93;300.5;28.8;2.2;0.6;-76.05;29.81;1130.35;-84.16;0.18;-52.41;2;114.63;0.039;3;-60.12;0.44;1;4.4;-37.73;-1.75;-56.82;0.05;91.12;8;0
101;95;71.12;342.1;64.7;3.8;0.4;-80.75;69.45;2921.04;-415.65;0.3;-53.51;1;123.39;0.027;3;-48.85;0.82;1;4.33;-37.72;-1.54;-57.16;0.04;94.31;4;0
102;96;99.51;235.45;53.3;4.5;1.7;-73.08;61.63;3175.77;-680.75;0.29;-72.53;1;116.18;0.011;3;-58.11;0.83;1;4.75;-41.53;-1;-56.7;0.04;103.52;11;0
103;97;214.34;153.2;25.4;4.5;0.1;-71.78;62.74;4242.98;-329.83;0.21;-47.5;1;130.81;0.001;4;-49.09;0.98;-6.35;11.16;-23.81;-1.29;-63.45;0.79;126.16;10;0
104;98;150.23;232.6;36.7;4.5;1.2;-72.69;57.61;2023.28;-800.15;0.16;-48.52;1;124.72;0.014;5;-60;1.01;-0.18;8.33;-31.91;-3.28;-65.48;0.11;123.4;6;-5.56
105;99;73.48;472.3;46.8;3.5;6.8;-58.09;43.43;4200.79;-200.49;0.17;-42.36;3;113.77;0.006;5;-41.41;1.15;-1.71;9.23;-41.64;-10.16;-52.74;0.08;110.39;40;-8.51
106;100;127.01;224;20.6;2.4;1.5;-72.52;60.11;4059.18;-500.44;0.14;-32.89;1;123.34;0.012;6;-49.66;1.21;-1.41;8.93;-31.47;-3.35;-63.74;0.75;125.35;7;0
107;101;190.68;169.3;27.4;4.5;2.1;-73.44;57.12;3012.19;-201.53;0.2;-50.02;1;131.3;0.013;4;-55.18;1.03;-0.55;7.39;-30.46;-0.98;-65.13;0.45;129.12;5;0
108;102;130.25;121;31.9;3.3;3.1;-72.94;60.49;3350.52;-150.31;0.17;-19.28;1;114.32;0.005;7;45.41;1.2;-2.54;35.58;-31.94;-4.45;-56.19;0.43;100.12;19;-8.47
109;103;118.93;333.8;31.9;3.5;7.4;-78.06;38.15;2827.65;-49.64;0.16;-69.4;2;121.22;0.017;4;-56.7;0.73;1;7.4;-41.63;-0.8;-55.79;0.03;102.91;11;-7.45
110;104;87.93;294.5;28;2.2;0.6;-76.05;29.11;1130.88;-83.17;0.18;-52.43;2;111.63;0.042;3;-60.12;0.48;1;4.4;-37.66;-1.68;-56.58;0.05;91.92;8;0
111;105;70.88;341.6;64;3.8;0.4;-80.75;69.4;2919.44;-404.6;0.27;-52.61;1;124.69;0.027;3;-48.06;0.88;1;4.33;-37.69;-1.51;-57.45;0.04;94.21;4;0
112;106;103.51;230.9;53.6;4.5;1.7;-73;61.64;3105.07;-662.02;0.27;-71.53;1;117.19;0.011;3;-58.74;0.82;1;4.75;-41.54;-1.01;-56.62;0.04;103.2;11;0
